"author_list";"title";"journal";"year";"language";"language_comments";"evidence_point_ID";"country";"country_comments";"locality";"coordinates_N";"coordinates_E";"year_start";"year_end";"elevation";"elevation_DEM";"study_design";"study_design_comments";"experimental_design";"study_method";"study_method_comments";"exposure_quantification";"exposure_quantification_comments";"additional_exposures";"additional_treatments_comments";"extent_of_spatial_scale";"spatial_resolution_recorded";"spatial_resolution_reported";"extent_of_temporal_scale";"temporal_resolution";"redundancy";"biological_organization_level_recorded";"biological_organization_recorded_comments";"biological_organization_level_reported";"biological_organization_reported_comments";"identity_of_biological_organization_unit";"management_plant";"conservation_plant";"conservation_plant_comments";"measured_response_variable";"measured_response_comments";"herbivore_identity";"herbivore_type";"herbivore_type_comments";"herbivory_season";"herbivory_season_comment";"effect_type";"effect_type_comments";"management_herbivore";"management_herbivore_comments";"conservation_herbivore";"conservation_herbivore_comments";"management";"management_area";"conservation_study_area";"conservation_study_area_comment";"distance_to_treeline";"temperature";"temperature_measure";"precipitation";"precipitation_measure";"climate_axis_1";"climate_axis_2";"climate_axis_3";"growing_season";"distance_from_coast";"bioclimatic_zone";"soil_type.";"productivity";"productivity_P";"recent_warming";"recent_greening";"extent_of_recent_growing_season_change";"herbivore_diversity";"habitat_type_P";"habitat_type_C";"disturbance";"disturbance_comment";"permafrost";"food_web_context_other_herbivores";"food_web_context_predators";"conservation_focus";"comment";"coding.person";"coding.checked"
"Leffler, Beard, Kelsey, Choi, Schmutz, Welker";"Delayed herbivory by migratory geese increases summer-long CO2 uptake in coastal western Alaska";"Global Change Biology";"2019";"english";NA;"3_a";"Alaska";NA;"Tutakoke River";"61.25";"-165.62";"2014";"2016";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"warming";"phenological advance using warming";"from 1x1 km to 10x10 km";"from  1x1 m to 10x10 m (including 10x10m)";"from  1x1 m to 10x10 m (including 10x10m)";"3";"regular with intervals shorter than a year";"not redundant";"community";NA;"community";NA;"not reported";"managed grazing";"not reported";NA;"several";"productivity, morphological measure";"Branta_bernicla_nigricans";"waterfowl";NA;"several";"spring, summer";"removal of plant parts";"grazing";"non-managed";NA;"not reported";NA;"managed herbivore";"current";"not reported";"not reported";NA;"-14, 10";"winter_mean, summer_mean";"87_109";"range_annual_sums_during_study";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"brackish_wet_sedge_meadow";NA;"flooding";NA;NA;"not reported";"not reported";"not reported";NA;"Petr Macek";"Eeva Soininen"
"Barthelemy, Stark, Michelsen, Olofsson";"Urine is an important nitrogen source for plants irrespective of vegetation composition in an Arctic tundra: Insights from a N-15-enriched urea tracer experiment";"Journal of Ecology";"2018";"english";NA;"23_a";"Norway";NA;"Raisduoddar";"69.516667";"21.316667";"2011";"2012";"600_700";NA;"experimental";NA;"control-impact";"field";NA;"fence";NA;"nutrient manipulation";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"2";"twice, interval one year or shorter";"not redundant";"population/species";NA;"groups of species";NA;"Betula_nana, other_deciduous_shrub_species, Empetrum_hermaphroditum, other_evergreen_shrub_species, forbs, graminoids, cryptogams";"managed grazing";"not reported";NA;"biomass";NA;"Rangifer_tarandus";"other vertebrates";NA;"several";"summer, autumn, spring";"several";"removal of plant parts, disturbance, fertilizing";"not reported";NA;"no concern";NA;"not reported";"historical and current";"not reported";NA;NA;"-0.6";"annual_mean";"935";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"tundra";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"experimental design across the two sides of the fence";"Petr Macek";"Eeva Soininen, Isabel C Barrio"
"Bognounou, Hulme, Oksanen, Suominen, Olofsson";"Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line";"Journal of Vegetation Science";"2018";"english";NA;"25_a";"Norway";NA;"Joatka";"69.753055";"24";"1999";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"9";"irregular with intervals longer than a year";"not redundant";"individual";NA;"individual";NA;"Picea_abies, Pinus_sylvestris, Larix_sibirica";"not reported";"not reported";NA;"several";"survival/mortality, reproduction/recruitment, morphological measure";"Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus";"several";"other vertebrates, small rodents and pikas";"several";"spring, autumn, summer, not reported";"not reported";NA;"several";"semi-domesticated, non-managed";"not reported";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"354";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"dwarf_shrub_heath";NA;"not reported";NA;NA;"documented by referring to another study";"not reported";"not reported";"Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here";"Petr Macek";"Eeva Soininen, Isabel C Barrio"
"Bognounou, Hulme, Oksanen, Suominen, Olofsson";"Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line";"Journal of Vegetation Science";"2018";"english";NA;"25_b";"Norway";NA;"Seiland";"70.506111";"23.528056";"1999";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"9";"irregular with intervals longer than a year";"not redundant";"individual";NA;"individual";NA;"Picea_abies, Pinus_sylvestris, Larix_sibirica";"not reported";"not reported";NA;"several";"survival/mortality, reproduction/recruitment, morphological measure";"Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus";"several";"other vertebrates, small rodents and pikas";"several";"spring, autumn, summer, not reported";"not reported";NA;"several";"reindeer: semi-domesticated, voles and lemmings non-managed";"not reported";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"734";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"dwarf_shrub_heath";NA;"not reported";NA;NA;"documented by referring to another study";"not reported";"not reported";"Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here";"Petr Macek";"Eeva Soininen, Isabel C Barrio"
"Bognounou, Hulme, Oksanen, Suominen, Olofsson";"Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line";"Journal of Vegetation Science";"2018";"english";NA;"25_c";"Sweden";NA;"Paddus";"68.323056";"18.865833";"1999";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"9";"irregular with intervals longer than a year";"not redundant";"individual";NA;"individual";NA;"Picea_abies, Pinus_sylvestris, Larix_sibirica";"not reported";"not reported";NA;"several";"survival/mortality, reproduction/recruitment, morphological measure";"Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus";"several";"other vertebrates, small rodents and pikas";"several";"spring, autumn, summer, not reported";"not reported";NA;"several";"reindeer: semi-domesticated, voles and lemmings non-managed";"not reported";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"304";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"dwarf_shrub_heath";NA;"not reported";NA;NA;"documented by referring to another study";"not reported";"not reported";"Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here";"Petr Macek";"Eeva Soininen, Isabel C Barrio"
"Bognounou, Hulme, Oksanen, Suominen, Olofsson";"Role of climate and herbivory on native and alien conifer seedling recruitment at and above the Fennoscandian tree line";"Journal of Vegetation Science";"2018";"english";NA;"25_d";"Sweden";NA;"Vassijaure";"68.440556";"18.274722";"1999";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"9";"irregular with intervals longer than a year";"not redundant";"individual";NA;"individual";NA;"Picea_abies, Pinus_sylvestris, Larix_sibirica";"not reported";"not reported";NA;"several";"survival/mortality, reproduction/recruitment, morphological measure";"Rangifer_tarandus, Myodes_rufocanus, Lemmus_lemmus, Myodes_rutilus";"several";"other vertebrates, small rodents and pikas";"several";"spring, autumn, summer, not reported";"not reported";NA;"several";"reindeer: semi-domesticated, voles and lemmings non-managed";"not reported";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"848";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"dwarf_shrub_heath";NA;"not reported";NA;NA;"documented by referring to another study";"not reported";"not reported";"Petr had coded all four locations under one, needs to be split to four evidence points. The experimental design (fences for large and large+small herbivores) is replicated at treeline and open tundra -- only open tundra habitats included here";"Petr Macek";"Eeva Soininen, Isabel C Barrio"
"Bråthen, Gonzalez, Yoccoz";"Gatekeepers to the effects of climate warming? Niche construction restricts plant community changes along a temperature gradient";"Perspectives in Plant Ecology and Systematics";"2018";"english";NA;"28_a";"Norway";NA;"Fennoscandia";"70";"25";"2003";"2003";"not reported";NA;"quasi-experimental";NA;"control-impact";"field";NA;"fence";NA;"none";NA;"from 100x100 km to 1000x1000 km";"up to  1x1 m (including 1x1 m)";"from 10x10 m to 100x100 m (including 100x100 m)";"1";"once";"not redundant";"population/species";NA;"several";"population/species, groups of species, community";"forbs, grasses, sedges, deciduous_shrubs, evergreen_shrubs, vascular_cryptogams, Empetrum_nigrum, total_community";"managed grazing";"not reported";NA;"several";"biomass, reproduction/recruitment";"Rangifer_tarandus";"other vertebrates";NA;"summer";NA;"not reported";NA;"semi-domesticated";NA;"no concern";NA;"managed herbivore";"not reported";"not reported";NA;NA;"not reported";"not reported";"56";"summer_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"alpine_tundra";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";NA;"Petr Macek";"Eeva Soininen, Isabel C Barrio"
"Carlson, Beard, Adler";"Direct effects of warming increase woody plant abundance in a subarctic wetland";"Ecology and Evolution";"2018";"english";NA;"30_a";"Alaska";NA;"Tutakoke River";"61.25";"-165.5";"2015";"2016";"3";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"warming";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"2";"twice, interval longer than one year";"not redundant";"population/species";NA;"population/species";NA;"Salix_ovalifolia, Carex_ramenskii";"not reported";"not reported";NA;"cover";NA;"Branta_bernicla_nigricans, Branta_hutchinsii_minima, Chen_canagica, Anser_albifrons";"waterfowl";NA;"summer";NA;"several";"removal of plant parts, fertilizing";"non-managed";NA;"no concern";NA;"not reported";"not reported";"not reported";NA;NA;"-14.1, 13.3";"winter_mean, summer_mean";"41.1, 157";"mean_rainfall, mean_snowfall";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"wet_sedge_meadow";NA;"flooding";NA;NA;"not reported";"not reported";"not reported";NA;"Petr Macek";"Eeva Soininen, Isabel C Barrio"
"Gamarra, Callaghan, Bylund, Gwynn-Jones";"Larval crowding during an insect outbreak reduces herbivory pressure on preferred shrubs in a warmer environment";"Agricultural and Forest Meteorology";"2018";"english";NA;"50_a";"Sweden";NA;"Abisko";"68.35";"18.82";"2004";"2004";"360";NA;"quasi-experimental";NA;"control-impact";"field";NA;"herbivore outbreak";NA;"several";"warming, CO2";"not reported";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"1";"twice, interval one year or shorter";"not redundant";"groups of species";NA;"groups of species";NA;"Vaccinium_myrtillus, evergreen_species, other_species";"not reported";"no concern";NA;"cover";NA;"Epirrita_autumnata";"defoliating invertebrates";NA;"summer";NA;"removal of plant parts";NA;"non-managed";NA;"not relevant";NA;"not reported";"not reported";"not relevant";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"mountain_birch_forest";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"The site, with a Sub-arctic montane climate, was based in a mountain birch forest with a ground layer dominated by a dwarf shrub community composed mostly by the deciduous Vaccinium myrtillus (bilberry) and two evergreen shrubs, Vaccinium vitis-idaea (lingonberry) and Empetrum nigrum (black crowberry) plus other deciduous shrubs (Betula nana), grasses and herbs (e.g. Deschampsia flexuosa, Cornus suecica). The study includes also a modelling component based on the field results and projections of warming and CO2 --> include here only experiment in the field";"Olivier Gilg";"Eeva Soininen, Isabel C Barrio"
"Gough, Johnson";"Mammalian herbivory exacerbates plant community responses to long-term increased soil nutrients in two Alaskan tundra plant communities";"Arctic Science";"2018";"english";NA;"54_a";"Alaska";NA;"Toolik Lake";"68.2";"-149.6";"1998";"2006";"760";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"nutrient manipulation";NA;"from 1x1 km to 10x10 km";"from  1x1 m to 10x10 m (including 10x10m)";"from  1x1 m to 10x10 m (including 10x10m)";"9";"irregular with intervals longer than a year";"not redundant";"population/species";NA;"several";"population/species, community";"Eriophorum_spp, Betula_nana";"not reported";"not reported";NA;"several";"other abundance measure, diversity, cover";"Microtus_oeconomus, Microtus_miurus, Dicronstonyx_rubricatus, Rangifer_tarandus";"several";"small rodents and pikas, other vertebrates";"not reported";NA;"not reported";NA;"not reported";NA;"not relevant";NA;"not reported";"current";"not reported";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"high_productivity_sites";NA;NA;NA;NA;"moist_acidic_tussock_tundra";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"Separated into two evidence points";"Bernice Hwang";"Eeva Soininen, Isabel C Barrio"
