"","author_list","title","journal","year","language","language_comments","evidence_point_ID","country","country_comments","locality","coordinates_N","coordinates_E","year_start","year_end","elevation","elevation_DEM","study_design","study_design_comments","experimental_design","study_method","study_method_comments","exposure_quantification","exposure_quantification_comments","additional_exposures","additional_treatments_comments","extent_of_spatial_scale","spatial_resolution_recorded","spatial_resolution_reported","extent_of_temporal_scale","temporal_resolution","redundancy","biological_organization_level_recorded","biological_organization_recorded_comments","biological_organization_level_reported","biological_organization_reported_comments","identity_of_biological_organization_unit","management_plant","conservation_plant","conservation_plant_comments","measured_response_variable","measured_response_comments","herbivore_identity","herbivore_type","herbivore_type_comments","herbivory_season","herbivory_season_comment","effect_type","effect_type_comments","management_herbivore","management_herbivore_comments","conservation_herbivore","conservation_herbivore_comments","management","management_area","conservation_study_area","conservation_study_area_comment","distance_to_treeline","temperature","temperature_measure","precipitation","precipitation_measure","climate_axis_1","climate_axis_2","climate_axis_3","growing_season","distance_from_coast","bioclimatic_zone","soil_type.","productivity","productivity_P","recent_warming","recent_greening","extent_of_recent_growing_season_change","herbivore_diversity","habitat_type_P","habitat_type_C","disturbance","disturbance_comment","permafrost","food_web_context_other_herbivores","food_web_context_predators","conservation_focus","comment","coding.person","coding.checked"
"13","Ylänne, Stark","Distinguishing Rapid and Slow C Cycling Feedbacks to Grazing in Sub-arctic Tundra","Ecosystems",2019,"english",NA,"13_a","Norway",NA,"Raisduoddar",69.524722,21.321111,"2002","2014","430_570",NA,"quasi-experimental",NA,"control-impact","field",NA,"fence",NA,"none",NA,"from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","1","once","redundant","groups of species",NA,"groups of species",NA,"graminoids, evergreen_shrubs, deciduous_shrubs, bryophytes","managed grazing","not reported",NA,"several","physiological response, morphological measure, other abundance measure","Rangifer_tarandus","other vertebrates","reindeer","several","summer, autumn, spring","several","removal of plant parts, disturbance, fertilizing","not reported",NA,"no concern",NA,"not reported","historical and current","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"not reported",NA,"not reported",NA,NA,"not reported","not reported","not reported",NA,"Petr Macek","Eeva Soininen, Isabel C Barrio"
"614","Speed, Martinsen, Hester, Holand, Mulder, Mysterud, Austrheim","Continuous and discontinuous variation in ecosystem carbon stocks with elevation across a treeline ecotone","Biogeosciences",2015,"english",NA,"614_a","Norway",NA,"Hol",60.7,7.95,"2012","2013","970_1300",NA,"experimental",NA,"control-impact","field",NA,"enclosure",NA,"other","altitude","from 1x1 km to 10x10 km","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","2","annual","not redundant","population/species",NA,"population/species",NA,"Avenella_flexuosa, Anthoxanthum_odoratum, Nardus_stricta","not reported","not reported",NA,"several","other abundance measure, biomass","Ovis_aries","other vertebrates",NA,"summer",NA,"not reported",NA,"domesticated",NA,"no concern",NA,"managed herbivore","current","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"open_alpine_ecosystems",NA,"not reported",NA,NA,"not reported","not reported","not reported","alpine ecosystem in south Norway, study started in 2002. not a complete plant species list?","Nigel Yoccoz","Eeva Soininen"
"1175...41","Henden, Ims, Yoccoz, Killengreen","Declining willow ptarmigan populations: The role of habitat structure and community dynamics","Basic and Applied Ecology",2011,"english",NA,"1175_a","Norway",NA,"Vestre Jakobselv",70.268101,29.415865,"2005","2008","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 10x10 km to 100x100 km","from 10x10 m to 100x100 m (including 100x100 m)","from 10x10 m to 100x100 m (including 100x100 m)","4","annual","redundant","population/species",NA,"population/species",NA,"Salix_sp",NA,"not reported",NA,"cover",NA,"Rangifer_tarandus","other vertebrates",NA,"summer",NA,"not reported",NA,"semi-domesticated",NA,"not relevant",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"riparian_plain",NA,"not reported",NA,NA,"mentioned","not reported","not reported","Uses same dataset of willow configuration as 1176. As 1176 is older (accepted earlier) we chose to keep that paper. Separated into three evidence points, because they report on three different sites that represent potentially different environmental contexts. Exposure here is a bit tricky -- they sampled in three sites with different reindeer grazing pressure, and measured shrub characteristics to assess the impacts on ptarmigan (main aim of the study), but since they measured shrub characteristics, I kept here. They measuerd areal extent and fragmentation of willow  thickets -- I have considered them different ways of measuring ""cover"". Coordinates extracted based on site names and a map presented in another paper by the same research group at the same sites (Polar Biol 2011, 34:533-540)","Megan Wilcots","Isabel C Barrio"
"1175...42","Henden, Ims, Yoccoz, Killengreen","Declining willow ptarmigan populations: The role of habitat structure and community dynamics","Basic and Applied Ecology",2011,"english",NA,"1175_b","Norway",NA,"Komagdalen",70.26038,30.294487,"2005","2008","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 10x10 km to 100x100 km","from 10x10 m to 100x100 m (including 100x100 m)","from 10x10 m to 100x100 m (including 100x100 m)","4","annual","redundant","population/species",NA,"population/species",NA,"Salix_sp",NA,"not reported",NA,"cover",NA,"Rangifer_tarandus","other vertebrates",NA,"summer",NA,"not reported",NA,"semi-domesticated",NA,"not relevant",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"riparian_plain",NA,"not reported",NA,NA,"mentioned","not reported","not reported","Uses same dataset of willow configuration as 1176. As 1176 is older (accepted earlier) we chose to keep that paper. Separated into three evidence points, because they report on three different sites that represent potentially different environmental contexts. Exposure here is a bit tricky -- they sampled in three sites with different reindeer grazing pressure, and measured shrub characteristics to assess the impacts on ptarmigan (main aim of the study), but since they measured shrub characteristics, I kept here. They measuerd areal extent and fragmentation of willow  thickets -- I have considered them different ways of measuring ""cover"". Coordinates extracted based on site names and a map presented in another paper by the same research group at the same sites (Polar Biol 2011, 34:533-540)","Megan Wilcots","Isabel C Barrio"
"1175...43","Henden, Ims, Yoccoz, Killengreen","Declining willow ptarmigan populations: The role of habitat structure and community dynamics","Basic and Applied Ecology",2011,"english",NA,"1175_c","Norway",NA,"Ifjordfjellet",70.453623,27.390787,"2005","2008","not reported",NA,"observational",NA,"not relevant","field",NA,"spatial contrast/gradient",NA,"none",NA,"from 10x10 km to 100x100 km","from 10x10 m to 100x100 m (including 100x100 m)","from 10x10 m to 100x100 m (including 100x100 m)","4","annual","redundant","population/species",NA,"population/species",NA,"Salix_sp",NA,"not reported",NA,"cover",NA,"Rangifer_tarandus","other vertebrates",NA,"several","spring, autumn","not reported",NA,"semi-domesticated",NA,"not relevant",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"riparian_plain",NA,"not reported",NA,NA,"mentioned","not reported","not reported","Uses same dataset of willow configuration as 1176. As 1176 is older (accepted earlier) we chose to keep that paper. Separated into three evidence points, because they report on three different sites that represent potentially different environmental contexts. Exposure here is a bit tricky -- they sampled in three sites with different reindeer grazing pressure, and measured shrub characteristics to assess the impacts on ptarmigan (main aim of the study), but since they measured shrub characteristics, I kept here. They measuerd areal extent and fragmentation of willow  thickets -- I have considered them different ways of measuring ""cover"". Coordinates extracted based on site names and a map presented in another paper by the same research group at the same sites (Polar Biol 2011, 34:533-540)","Megan Wilcots","Isabel C Barrio"
"1309","Hofgaard, Lokken, Dalen, Hytteborn","Comparing warming and grazing effects on birch growth in an alpine environment - a 10-year experiment","Plant Ecology & Diversity",2010,"english",NA,"1309_a","Norway",NA,"Dovre",62.3,9.616,"1999","2008","1090",NA,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"warming",NA,"1x1 km or less","not relevant","not relevant","10","irregular with intervals longer than a year","not redundant","individual",NA,"population/species",NA,"Betula_pubescens","not reported","not reported",NA,"morphological measure",NA,"Ovis_aries, Rangifer_tarandus, Lepus_timidus, Lagopus_spp, Microtus_spp, Clethrionomys_spp., Lemmus_lemmus, Alces_alces","several","other vertebrates, small rodents and pikas","not reported",NA,"removal of plant parts",NA,"several","domesticated, non-managed","not relevant",NA,"managed herbivore","not reported","not reported",NA,NA,"-0.2, 9.9, -9.2","annual_mean, warmest_month_mean, coldest_month_mean","447","annual_mean",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"forest_tundra_ecotone",NA,"not reported",NA,NA,"mentioned","not reported","not reported","Measured response = morphological variables: growth-related variables: height, stem diameter, crown size, number of short and long shoots, total long shoot length, total leaf area","Isabel C Barrio","Isabel C Barrio"
"1449","Rinnan, Stark, Tolvanen","Responses of vegetation and soil microbial communities to warming and simulated herbivory in a subarctic heath","Journal of Ecology",2009,"english",NA,"1449_a","Finland",NA,"Kilpisjärvi",69.5,20.83333333,"2003","2007","670",NA,"experimental",NA,"control-impact","field",NA,"simulated herbivory",NA,"warming",NA,"1x1 km or less","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","5","twice, interval longer than one year","redundant","population/species",NA,"several","population/species, groups of species","Vaccinium_myrtillus, evergreen_dwarf_shrubs, deciduous_dwarf_shrubs, graminoids, forbs, mosses, lichens","not reported","not reported",NA,"several","cover, biomass","Epirrita_autumnata","defoliating invertebrates",NA,"summer",NA,"removal of plant parts",NA,"not reported",NA,"not reported",NA,"not reported","not reported","not reported",NA,NA,"-2.3, 10.9","annual_mean, warmest_month_mean","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"heathland",NA,"other herbivory",NA,NA,"documented by referring to another study","not reported","not reported","Overlap between 645 and 1449: the two studies focus on slightly different things that are outside the scope of this systematic map (#645 C and N in soils, #1449 microbes et al) and both use the same vegetation data, mostly reported as veg cover, in #645 for a longer . extent_of_temporal_scale was 5 years for vegetation cover, 4 years for soil nutrient concentrations, 1 year for soil microbial respiration, and 1 year for composition and function of soil microbial communities.  Experiment treatments were taking place annually for 10-13 years (depending on when a given measurements was taken). Grey-sided vole (Clethrionomys rufocanus) herbivory in winter. Additional herbivores in the study area but not in the experiment = reindeer, lemmings. Habitat: dominated by dwarf shrub Vaccinium myrtillus and evergreen dwarf shrubs (Emeptrum nigrum and Vaccinium vitis-idaea); understory dominated by Dicranum spp. mosses and Cladina spp. and Stereocaulon spp. lichens. cover of V. myrtillus and species groups and biomass of V. myrtillus shoots","Kelly Hopping","Isabel C Barrio"
"1645","Pedersen, Post","Interactions between herbivory and warming in aboveground biomass production of arctic vegetation","BMC Ecology",2008,"english",NA,"1645_a","Greenland",NA,"Kangerlussuaq",67.11333333,-50.33333333,"2003","2006","not reported",NA,"experimental",NA,"control-impact","field",NA,"exclosure",NA,"warming",NA,"not reported","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","4","annual","redundant","several","populations/species, groups of species","several","populations/species, groups of species","Betula_nana, graminoids, forbs","not reported","not reported",NA,"biomass",NA,"Rangifer_tarandus, Ovibos_ moschatus","other vertebrates",NA,"year-round",NA,"removal of plant parts",NA,"non-managed",NA,"no concern",NA,"not reported","not reported","not reported",NA,NA,"2.5, 8.6, 10.7, 8.2","May_mean, June_mean, Jul_mean, Aug_mean","8, 15, 24, 33","May_mean, June_mean, Jul_mean, Aug_mean",NA,NA,NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,"low_shrub_tundra",NA,"insect outbreaks (when outbreaks not in focus)",NA,NA,"not reported","not reported","not reported","#1645 and #1590 are presenting essentially the same data (aboveground biomass) but #1590 for a one-year longer dataset (2003 to 2007), so #1590 kept and #1645 coded as redundant. Habitat: low shrub tundra (north-facing and cooler slopes are dom-inated by Labrador tea (Ledum palustre), while xerophyllic plants (e.g. Kobresia myosuroides and Carex supina) characterize  the  warmer,  more  south-facing  slopes,  with  dense patches  of  dwarf  birch  (Betula  nana)  interspersed  with gray leaf  willow  (Salix  glauca)  at  lower  elevations.  The moister valley floors are typically dominated by greens of Poa pratensis)","Isabel C Barrio","Isabel C Barrio"
"1700...168","Lindgren, Klint, Moen","Defense mechanisms against grazing: a study of trypsin inhibitor responses to simulated grazing in the sedge Carex bigelowii","Oikos",2007,"english",NA,"1700_a","Sweden",NA,"Björkfjället",66.032023,16.547266,"2003","2003","800_1100",NA,"experimental",NA,"control-impact","field",NA,"simulated herbivory",NA,"none",NA,"not reported","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","1","regular with intervals shorter than a year","not redundant","individual",NA,"population/species",NA,"Carex_bigelowii","not reported","not reported",NA,"physiological response",NA,"not reported","unknown",NA,"not reported",NA,"removal of plant parts",NA,"not relevant",NA,"not relevant",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"low_productivity_sites",NA,NA,NA,NA,"Empetrum_heath",NA,"not reported",NA,NA,"mentioned","not reported","not reported","one site, but three evindence points (different habitats where the experiment was conducted, each habitat is reported separately). Simulated herbivory by clipping at different intensities. Productivity: low (250-400 g/m2/yr)","Isabel C Barrio","Isabel C Barrio"
"1700...169","Lindgren, Klint, Moen","Defense mechanisms against grazing: a study of trypsin inhibitor responses to simulated grazing in the sedge Carex bigelowii","Oikos",2007,"english",NA,"1700_b","Sweden",NA,"Björkfjället",66.032023,16.547266,"2003","2003","800_1100",NA,"experimental",NA,"control-impact","field",NA,"simulated herbivory",NA,"none",NA,"not reported","up to  1x1 m (including 1x1 m)","up to  1x1 m (including 1x1 m)","1","regular with intervals shorter than a year","not redundant","individual",NA,"population/species",NA,"Carex_bigelowii","not reported","not reported",NA,"physiological response",NA,"not reported","unknown",NA,"not reported",NA,"removal of plant parts",NA,"not relevant",NA,"not relevant",NA,"not reported","not reported","not reported",NA,NA,"not reported","not reported","not reported","not reported",NA,NA,NA,NA,NA,NA,NA,NA,"intermediate_productivity_sites",NA,NA,NA,NA,"grass_heath",NA,"not reported",NA,NA,"mentioned","not reported","not reported","one site, but three evindence points (different habitats where the experiment was conducted, each habitat is reported separately). Simulated herbivory by clipping at different intensities. Productivity: medium (500-600 g/m2/yr)","Isabel C Barrio","Isabel C Barrio"
